Ex/EFF Date,Type,Cash Amount,Declaration Date,Record Date,Payment Date
3/15/24,Cash,$1.59 ,1/5/24,3/18/24,4/30/24
12/15/23,Cash,$1.91 ,1/19/23,12/18/23,1/31/24
6/16/23,Cash,$1.64 ,1/19/23,6/20/23,7/31/23
3/17/23,Cash,$1.51 ,1/19/23,3/20/23,4/28/23
12/16/22,Cash,$1.78 ,1/24/22,12/19/22,1/31/23
9/16/22,Cash,$1.60 ,1/24/22,9/19/22,10/31/22
6/17/22,Cash,$1.58 ,1/24/22,6/21/22,7/29/22
3/18/22,Cash,$1.37 ,1/24/22,3/21/22,4/29/22
12/17/21,Cash,$1.64 ,1/22/21,12/20/21,1/31/22
9/17/21,Cash,$1.43 ,9/16/21,9/20/21,10/29/21
6/18/21,Cash,$1.38 ,1/22/21,6/21/21,7/30/21
3/19/21,Cash,$1.28 ,1/22/21,3/22/21,4/30/21
12/18/20,Cash,$1.58 ,1/16/20,12/21/20,1/29/21
9/18/20,Cash,$1.34 ,1/16/20,9/21/20,10/30/20
6/19/20,Cash,$1.37 ,1/16/20,6/22/20,7/31/20
3/20/20,Cash,$1.41 ,1/16/20,3/23/20,4/30/20
12/20/19,Cash,$1.57 ,1/10/19,12/23/19,1/31/20
9/20/19,Cash,$1.38 ,1/10/19,9/23/19,10/31/19
6/21/19,Cash,$1.43 ,1/10/19,6/24/19,7/31/19
3/15/19,Cash,$1.23 ,1/10/19,3/18/19,4/30/19
12/21/18,Cash,$1.44 ,1/6/18,12/24/18,1/31/19
9/21/18,Cash,$1.32 ,1/6/18,9/24/18,10/31/18
6/15/18,Cash,$1.25 ,1/6/18,6/18/18,7/31/18
3/16/18,Cash,$1.10 ,1/6/18,3/19/18,4/30/18
12/15/17,Cash,$1.35 ,12/14/17,12/18/17,1/31/18
9/15/17,Cash,$1.23 ,9/14/17,9/18/17,10/31/17
6/16/17,Cash,$1.18 ,6/15/17,6/20/17,7/31/17
3/17/17,Cash,$1.03 ,3/16/17,3/21/17,4/28/17
12/16/16,Cash,$1.33 ,12/15/16,12/20/16,1/31/17
9/16/16,Cash,$1.08 ,9/15/16,9/20/16,10/31/16
6/17/16,Cash,$1.08 ,6/16/16,6/21/16,7/29/16
3/18/16,Cash,$1.05 ,3/17/16,3/22/16,4/29/16
12/18/15,Cash,$1.21 ,12/17/15,12/22/15,1/29/16
9/18/15,Cash,$1.03 ,9/17/15,9/22/15,10/30/15
6/19/15,Cash,$1.03 ,6/18/15,6/23/15,7/31/15
3/20/15,Cash,$0.93 ,3/19/15,3/24/15,4/30/15
12/19/14,Cash,$1.13 ,12/18/14,12/23/14,1/30/15
9/19/14,Cash,$0.94 ,9/18/14,9/23/14,10/31/14
6/20/14,Cash,$0.94 ,6/19/14,6/24/14,7/31/14
3/21/14,Cash,$0.82 ,3/20/14,3/25/14,4/30/14
12/20/13,Cash,$0.98 ,12/19/13,12/24/13,1/31/14
9/20/13,Cash,$0.84 ,9/19/13,9/24/13,10/31/13
6/21/13,Cash,$0.84 ,6/20/13,6/25/13,7/31/13
3/15/13,Cash,$0.69 ,3/14/13,3/19/13,4/30/13
12/21/12,Cash,$1.02 ,12/20/12,12/26/12,1/31/13
6/15/12,Cash,$0.69 ,6/14/12,6/19/12,7/31/12
3/16/12,Cash,$0.61 ,3/15/12,3/20/12,4/30/12
